t_over_T,y1_case_0,y2_case_0,y1_case_1,y2_case_1,y1_case_2,y2_case_2
0.375,-0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865477,-0.7071067811865475,0.7071067811865474
0.3765,-0.7137396022764212,-0.7137396022764212,-0.7137396022764212,-0.7004111507838066,-0.7137396022764212,0.7137396022764214
0.378,-0.7203090248879069,-0.7203090248879069,-0.7203090248879069,-0.6936533058128049,-0.7203090248879069,0.7203090248879066
0.3795,-0.7268144654869028,-0.7268144654869028,-0.7268144654869028,-0.6868338465444084,-0.7268144654869028,0.7268144654869026
0.381,-0.7332553462225598,-0.7332553462225598,-0.7332553462225598,-0.6799533787224195,-0.7332553462225598,0.7332553462225601
0.3825,-0.7396310949786097,-0.7396310949786097,-0.7396310949786097,-0.6730125135097733,-0.7396310949786097,0.7396310949786093
0.384,-0.7459411454241821,-0.7459411454241821,-0.7459411454241821,-0.6660118674342517,-0.7459411454241821,0.745941145424182
0.3855,-0.7521849370641113,-0.7521849370641113,-0.7521849370641113,-0.6589520623337171,-0.7521849370641113,0.7521849370641115
0.387,-0.758361915288722,-0.758361915288722,-0.758361915288722,-0.651833725300879,-0.758361915288722,0.7583619152887215
0.3885,-0.7644715314230915,-0.7644715314230915,-0.7644715314230915,-0.6446574886275914,-0.7644715314230915,0.7644715314230914
0.39,-0.7705132427757891,-0.7705132427757891,-0.7705132427757891,-0.6374239897486895,-0.7705132427757891,0.7705132427757894
0.3915,-0.7764865126870787,-0.7764865126870787,-0.7764865126870787,-0.6301338711853695,-0.7764865126870787,0.7764865126870784
0.393,-0.7823908105765881,-0.7823908105765881,-0.7823908105765881,-0.6227877804881126,-0.7823908105765881,0.782390810576588
0.3945,-0.78822561199044,-0.78822561199044,-0.78822561199044,-0.6153863701791713,-0.78822561199044,0.7882256119904402
0.396,-0.7939903986478354,-0.7939903986478354,-0.7939903986478354,-0.6079302976946057,-0.7939903986478354,0.793990398647835
0.3975,-0.7996846584870905,-0.7996846584870905,-0.7996846584870905,-0.6004202253258841,-0.7996846584870905,0.7996846584870905
0.399,-0.8053078857111219,-0.8053078857111219,-0.8053078857111219,-0.592856820161059,-0.8053078857111219,0.805307885711122
0.4005,-0.8108595808323735,-0.8108595808323735,-0.8108595808323735,-0.5852407540255103,-0.8108595808323735,0.8108595808323732
0.402,-0.8163392507171839,-0.8163392507171839,-0.8163392507171839,-0.5775727034222676,-0.8163392507171839,0.8163392507171838
0.4035,-0.8217464086295901,-0.8217464086295901,-0.8217464086295901,-0.5698533494719236,-0.8217464086295901,0.8217464086295904
0.405,-0.8270805742745619,-0.8270805742745619,-0.8270805742745619,-0.5620833778521309,-0.8270805742745619,0.8270805742745616
0.40650000000000003,-0.8323412738406635,-0.8323412738406635,-0.8323412738406635,-0.5542634787366941,-0.8323412738406635,0.8323412738406634
0.40800000000000003,-0.8375280400421417,-0.8375280400421417,-0.8375280400421417,-0.5463943467342689,-0.8375280400421417,0.8375280400421419
0.40950000000000003,-0.8426404121604323,-0.8426404121604323,-0.8426404121604323,-0.5384766808266604,-0.8426404121604323,0.8426404121604321
0.41100000000000003,-0.8476779360850832,-0.8476779360850832,-0.8476779360850832,-0.530511184306734,-0.8476779360850832,0.8476779360850832
0.41250000000000003,-0.8526401643540922,-0.8526401643540922,-0.8526401643540922,-0.5224985647159486,-0.8526401643540922,0.8526401643540923
0.41400000000000003,-0.8575266561936523,-0.8575266561936523,-0.8575266561936523,-0.5144395337815068,-0.8575266561936523,0.8575266561936521
0.41550000000000004,-0.862336977557304,-0.862336977557304,-0.862336977557304,-0.5063348073531325,-0.862336977557304,0.862336977557304
0.417,-0.86707070116449,-0.86707070116449,-0.86707070116449,-0.49818510533949056,-0.86707070116449,0.8670707011644901
0.4185,-0.8717274065385088,-0.8717274065385088,-0.8717274065385088,-0.48999115164423684,-0.8717274065385088,0.8717274065385087
0.42,-0.8763066800438635,-0.8763066800438635,-0.8763066800438635,-0.48175367410171605,-0.8763066800438635,0.8763066800438631
0.4215,-0.8808081149230036,-0.8808081149230036,-0.8808081149230036,-0.47347340441231184,-0.8808081149230036,0.8808081149230037
0.423,-0.8852313113324551,-0.8852313113324551,-0.8852313113324551,-0.4651510780774586,-0.8852313113324551,0.885231311332455
0.4245,-0.8895758763783378,-0.8895758763783378,-0.8895758763783378,-0.45678743433430025,-0.8895758763783378,0.8895758763783376
0.426,-0.8938414241512638,-0.8938414241512638,-0.8938414241512638,-0.44838321609003196,-0.8938414241512638,0.8938414241512639
0.4275,-0.8980275757606155,-0.8980275757606155,-0.8980275757606155,-0.43993916985591536,-0.8980275757606155,0.8980275757606155
0.429,-0.9021339593682027,-0.9021339593682027,-0.9021339593682027,-0.43145604568095974,-0.9021339593682027,0.9021339593682024
0.4305,-0.9061602102212898,-0.9061602102212898,-0.9061602102212898,-0.42293459708530295,-0.9061602102212898,0.90616021022129
0.432,-0.9101059706849957,-0.9101059706849957,-0.9101059706849957,-0.41437558099328436,-0.9101059706849957,0.9101059706849955
0.4335,-0.9139708902740611,-0.9139708902740611,-0.9139708902740611,-0.4057797576662007,-0.9139708902740611,0.9139708902740609
