eta_Z2_sobre_Z1,R_p,R_I
0.1424260125021654,-0.7506604174913332,0.5634910623882626
0.14352521750454872,-0.7489776083508577,0.5609674578109708
0.1446329058704415,-0.7472850813065615,0.5584349927433542
0.14574914307212267,-0.7455828023901946,0.555893715220016
0.14687399508716817,-0.7438707378206705,0.5533436745858686
0.1480075284023509,-0.7421488540091218,0.5507849215070527
0.14914981001757044,-0.7404171175640016,0.5482175079817846
0.15030090744981328,-0.738675495296224,0.5456414873511218
0.15146088873714358,-0.7369239542243468,0.5430569143096471
0.1526298224427247,-0.7351624615797948,0.5404638449160633
0.1538077776588715,-0.7333909848121244,0.5378623366036976
0.1549948240111347,-0.7316094915943269,0.5352524481909094
0.15619103166241588,-0.7298179498281725,0.5326342398913969
0.15739647131711468,-0.7280163276495947,0.530007773324402
0.15861121422530794,-0.7262045934341115,0.5273731115248032
0.15983533218696122,-0.7243827158022871,0.524730318953097
0.16106889755617235,-0.722550663625231,0.5220794615052617
0.1623119832454485,-0.7207084060301344,0.5194206065224971
0.16356466273001555,-0.7188559124058448,0.5167538228008396
0.16482701005216105,-0.7169931524084763,0.5140791806006445
0.1660990998256107,-0.7151200959670568,0.5113967516559326
0.1673810072399385,-0.7132367132892102,0.5087066091835951
0.16867280806501112,-0.7113429748668746,0.5060088278924549
0.16997457865546614,-0.709438851482054,0.5033034839921758
0.1712863959552255,-0.7075243142126049,0.5005906552020168
0.17260833750204319,-0.7055993344380559,0.49787042075942745
0.17394048143208848,-0.7036638838454592,0.4951428614284759
0.1752829064845641,-0.701717934435276,0.4924080595081103
0.17663569200636045,-0.6997614585272913,0.48966609884024204
0.17799891795674558,-0.6977944287665612,0.4869170648176514
0.17937266491209122,-0.6958168181293884,0.48416104439170643
0.18075701407063557,-0.6938285999293292,0.4813981260798932
0.18215204725728248,-0.6918297478232273,0.4786283999731502
0.1835578469284382,-0.6898202358172751,0.4758519577430011
0.18497449617688488,-0.6878000382731053,0.4730688926484851
0.18640207873669198,-0.6857691299139037,0.47027929954287256
0.18784067898816573,-0.683727485830552,0.46748327488016767
0.18929038196283637,-0.6816750814877918,0.46468091672138756
0.1907512733484843,-0.6796118927304153,0.46187232474061757
0.19222343949420467,-0.6775378957894763,0.45905760023083125
0.19370696741551147,-0.6754530672885234,0.4562368461094745
0.19520194479948053,-0.6733573842498564,0.4534101669238087
0.1967084600099325,-0.671250824100801,0.4505776688560044
0.198226602092656,-0.6691333646800014,0.44773945972797974
0.19975646078067044,-0.6670049842437344,0.44489564900598444
0.20129812649953033,-0.6648656614722372,0.4420463478049156
0.20285169037266976,-0.6627153754760541,0.4391916688923673
0.20441724422678867,-0.6605541058023952,0.43633172669240183
0.2059948805972802,-0.6583818324415119,0.4334666372890431
0.2075846927337004,-0.6561985358330846,0.43059651842948404
0.20918677460527996,-0.65400419687262,0.42772148952700073
0.21080122090647832,-0.6517987969178626,0.42484167166357306
0.21242812706258082,-0.6495823177952121,0.42195718759219997
0.21406758923533917,-0.6473547418061524,0.4190681617389102
0.215719704328655,-0.6451160517336852,0.41617472020445884
0.21738456999430789,-0.6428662308487707,0.41327699076570495
0.21906228463772706,-0.6406052629167729,0.41037510287666773
0.22075294742380797,-0.6383331322039081,0.407469187669252
0.22245665828277353,-0.6360498234836955,0.4045593779536403
0.2241735179160809,-0.6337553220434093,0.4016458082183455
0.22590362780237347,-0.6314496136905289,0.39872861462991815
0.22764709020347895,-0.629132684759189,0.39580793503230516
0.22940400817045398,-0.626804522116626,0.39288390894585185
0.23117448554967507,-0.6244651131696186,0.3899566775659446
0.23295862698897662,-0.6221144458709247,0.3870263837612877
0.23475653794383633,-0.619752508725709,0.38409317207181
0.2365683246836085,-0.6173792907979629,0.3811571887061957
0.23839409429780525,-0.6149947817169145,0.37821858153903526
0.2402339547024262,-0.612598971683425,0.37527750010758976
0.2420880146463372,-0.6101918514763747,0.3723340956081661
0.243956383717698,-0.6077734124590317,0.3693885208920963
0.2458391723504399,-0.6053436465854066,0.3664409304613177
0.24773649183079302,-0.6029025464065872,0.36349148046354707
0.24964845430386412,-0.600450105077056,0.36054032868704755
0.2515751727802653,-0.5979863163609854,0.35758763455498055
0.25351676114279353,-0.5955111746385108,0.35463355911933886
0.2554733341531623,-0.5930246749119792,0.3516782650544586
0.25744500745878424,-0.5905268128121737,0.348721916650104
0.2594318975996074,-0.5880175846045076,0.34576467980411923
0.261434122015003,-0.5854969871951925,0.3428067220146474
0.26345179905070754,-0.5829650181373732,0.3398482123719079
0.2654850479658172,-0.5804216756372322,0.33688932154953244
0.2675339889398373,-0.5778669585600584,0.3339302217954523
0.269598743079786,-0.575300866436281,0.3309710869223356
0.27167943242735193,-0.5727233994674639,0.32801209229756817
0.2737761799661083,-0.5701345585322648,0.3250534148327805
0.2758891096287819,-0.5675343451923476,0.32209523297290676
0.27801834630457817,-0.5649227616982571,0.31913772668478574
0.28016401584656353,-0.5622998109952451,0.31618107744528834
0.28232624507910387,-0.5596654967290515,0.313225468228976
0.2845051618053608,-0.5570198232516383,0.3102710834952864
0.28670089481484573,-0.554362795626871,0.3073181091752399
0.28891357389103245,-0.5516944196361488,0.3043667326576671
0.29114332981902796,-0.5490147017839826,0.30141714277495535
0.2933902943933029,-0.5463236493035152,0.29846952978831026
0.2956546004254817,-0.5436212701619841,0.29552408537252894
0.29793638175219256,-0.5409075730661261,0.2925810026002866
0.3002357732429781,-0.5381825674675198,0.2896404759259315
0.30255291080826724,-0.5354462635678647,0.28670270116878727
0.3048879314074083,-0.5326986723241951,0.28376787549596016
0.30724097305676445,-0.5299398054540276,0.28083619740465265
0.30961217483787146,-0.5271696754404392,0.27790786670397805
0.31200167690565833,-0.5243882955370744,0.2749830844962781
0.3144096204967314,-0.52159567977308,0.2720620531579414
0.3168361479377224,-0.5187918429579643,0.2691449763197211
0.3192814026537014,-0.5159768006863814,0.26623205884655377
0.3217455291766536,-0.513150569342835,0.2633235068168757
0.3242286731540227,-0.5103131661063025,0.2604195275014387
0.32673098135731937,-0.5074646089547777,0.2575203293416255
0.3292526016907968,-0.5046049166697276,0.25462612192726275
0.33179368320019265,-0.5017341088404635,0.2517371159739341
0.33435437608153895,-0.4988522058684245,0.24885352329979296
0.33693483169003946,-0.49595922897137024,0.24597555680187605
0.33953520254901604,-0.4930552001874818,0.24310343043191773
0.3421556423589239,-0.49014014237936887,0.240237359171668
0.3447963060064362,-0.4872140792379809,0.2373775590077135
0.3474573495735992,-0.48427703528642063,0.2345242469058051
0.3501389303470575,-0.48132903588365805,0.23167764078469177
0.35284120682735126,-0.4783701072281418,0.22883795948946392
0.35556433873828425,-0.47540027636130916,0.22600542276440913
0.3583084870363649,-0.4724195711709896,0.2231802512253817
0.36107381392032,-0.46942802039469994,0.22036266633168683
0.3638604828406817,-0.4664256536228335,0.21755289035748746
0.3666686585094487,-0.46341250130173567,0.21475114636273115
0.3694985069098218,-0.46038859473666827,0.21195765816360418
0.3723501953060146,-0.4573539660946588,0.2091726503025143
0.37522389225314035,-0.4543086484072339,0.20639634801760767
0.37811976760717453,-0.45125267557303406,0.20362897721182194
0.3810379925349945,-0.4481860823603095,0.20087076442148213
0.38397873952449674,-0.44510890440929324,0.19812193678444134
0.3869421823947922,-0.4420211782344516,0.19538272200777282
0.38992849630648024,-0.43892294122661013,0.19265334833501824
0.39293785777200174,-0.4358142316549509,0.18993404451299523
0.395970444666072,-0.43269508866888434,0.18722503975817367
0.39902643623619527,-0.42956555229978755,0.1845265637226215
0.40210601311325866,-0.42642566346261357,0.18183884645953016
0.4052093573222091,-0.42327546395736654,0.1791621183883239
0.4083366522928123,-0.4201149964704412,0.17649661025935884
0.41148808287049476,-0.41694430457582665,0.1738425531182197
0.41466383532726936,-0.41376343273617266,0.17120017826962128
0.41786409737274555,-0.4105724263037146,0.16856971724091915
0.4210890581652238,-0.4073713315210599,0.1659514017452413
0.4243389083228771,-0.40416019552182936,0.16334546364424332
0.42761383993501695,-0.4009390663311567,0.1607521349104997
